customer_id,address_state,emp_length,home_ownership,annual_income,verification_status
70699,NY,4 years,RENT,200000,Not Verified
73673,NY,2 years,MORTGAGE,200000,Not Verified
74724,ME,< 1 year,RENT,15000,Not Verified
76583,NY,1 year,MORTGAGE,250000,Not Verified
80353,MA,< 1 year,OWN,15000,Not Verified
80364,CA,< 1 year,RENT,85000,Verified
84914,MA,10+ years,MORTGAGE,65000,Not Verified
85483,MA,10+ years,MORTGAGE,118000,Not Verified
86999,MA,< 1 year,OWN,22000,Not Verified
89243,MD,< 1 year,MORTGAGE,200000,Not Verified
90390,MA,< 1 year,MORTGAGE,100000,Not Verified
90607,NC,3 years,RENT,18000,Not Verified
90962,GA,8 years,MORTGAGE,150000,Not Verified
92174,CO,4 years,MORTGAGE,110000,Not Verified
92390,CO,5 years,MORTGAGE,75000,Not Verified
92423,MA,7 years,MORTGAGE,95000,Not Verified
92502,WI,1 year,OWN,85000,Not Verified
92529,WI,< 1 year,OWN,80000,Not Verified
92542,FL,4 years,MORTGAGE,48000,Not Verified
92661,WI,2 years,MORTGAGE,180000,Not Verified
92671,WI,< 1 year,MORTGAGE,180000,Not Verified
93057,MA,8 years,MORTGAGE,120000,Not Verified
93254,MA,< 1 year,MORTGAGE,25000,Not Verified
94256,MA,1 year,MORTGAGE,150000,Not Verified
95212,NY,2 years,RENT,48000,Not Verified
95222,IN,7 years,MORTGAGE,74000,Not Verified
96338,GA,1 year,OWN,30000,Not Verified
97572,IN,4 years,RENT,32000,Not Verified
98268,GA,< 1 year,RENT,8000,Not Verified
98957,VA,1 year,RENT,73000,Not Verified
98991,MA,10+ years,MORTGAGE,125000,Not Verified
100083,CO,< 1 year,RENT,27376,Not Verified
100208,WI,< 1 year,OWN,45000,Not Verified
104675,CT,1 year,OWN,61800,Not Verified
105254,MD,1 year,RENT,18000,Not Verified
105982,FL,9 years,OWN,75000,Not Verified
106039,FL,< 1 year,RENT,13500,Not Verified
106279,NY,1 year,RENT,65000,Not Verified
106333,MA,1 year,RENT,52200,Not Verified
107130,FL,3 years,RENT,60000,Not Verified
107671,MA,< 1 year,RENT,20000,Not Verified
109346,ME,< 1 year,RENT,20000,Not Verified
111223,FL,6 years,MORTGAGE,145000,Not Verified
111912,WI,1 year,RENT,60000,Not Verified
112227,WI,6 years,RENT,40000,Not Verified
112493,IN,2 years,MORTGAGE,36153,Not Verified
113093,VA,2 years,MORTGAGE,33990,Not Verified
113115,NJ,1 year,RENT,78000,Not Verified
113146,NJ,5 years,RENT,98000,Not Verified
113921,NY,2 years,RENT,19000,Not Verified
114426,NY,< 1 year,RENT,65000,Not Verified
116037,CT,3 years,MORTGAGE,130000,Not Verified
116502,NY,< 1 year,RENT,35000,Not Verified
116607,AZ,< 1 year,MORTGAGE,70000,Not Verified
117046,WI,1 year,MORTGAGE,225000,Not Verified
117783,NE,< 1 year,MORTGAGE,75000,Not Verified
117849,MD,3 years,RENT,48000,Not Verified
118026,NE,< 1 year,MORTGAGE,32000,Not Verified
118519,GA,9 years,MORTGAGE,213000,Not Verified
118760,NJ,< 1 year,RENT,40000,Not Verified
119040,VA,2 years,MORTGAGE,40000,Not Verified
119635,NY,< 1 year,RENT,70000,Not Verified
120227,VA,1 year,RENT,18000,Not Verified
120407,MA,1 year,MORTGAGE,35000,Not Verified
120995,NY,< 1 year,RENT,96000,Not Verified
121373,MA,< 1 year,NONE,120000,Not Verified
121423,WA,10+ years,OWN,125000,Not Verified
121527,WA,9 years,OWN,50000,Not Verified
121574,CA,< 1 year,NONE,100000,Not Verified
121808,FL,5 years,MORTGAGE,62000,Not Verified
122398,NY,1 year,RENT,60000,Not Verified
122713,NY,1 year,RENT,90000,Not Verified
124159,VA,2 years,MORTGAGE,88000,Not Verified
124430,NE,5 years,RENT,30000,Not Verified
125654,OH,< 1 year,RENT,45000,Not Verified
125668,NY,10+ years,MORTGAGE,150000,Not Verified
125787,MA,9 years,MORTGAGE,225000,Not Verified
125914,WI,< 1 year,MORTGAGE,173000,Not Verified
126209,MA,2 years,OWN,63000,Not Verified
126773,MA,2 years,OWN,90000,Not Verified
126782,FL,6 years,MORTGAGE,93000,Not Verified
127345,NY,3 years,RENT,45000,Not Verified
127460,NC,< 1 year,MORTGAGE,96000,Not Verified
127500,MA,6 years,MORTGAGE,150000,Not Verified
127525,NY,10+ years,RENT,75000,Not Verified
127716,MA,3 years,MORTGAGE,85000,Not Verified
127807,NY,< 1 year,OWN,45000,Not Verified
127824,FL,9 years,MORTGAGE,70000,Not Verified
128262,NH,1 year,RENT,50000,Not Verified
128775,NM,< 1 year,RENT,23000,Not Verified
129367,MD,6 years,RENT,92000,Not Verified
129716,NC,3 years,RENT,120000,Not Verified
129893,IL,3 years,RENT,54000,Not Verified
130019,MD,5 years,MORTGAGE,57000,Not Verified
130725,FL,4 years,RENT,72000,Not Verified
130904,MO,7 years,MORTGAGE,120000,Not Verified
130915,MA,3 years,RENT,57000,Not Verified
130983,MA,< 1 year,RENT,110000,Not Verified
131612,AZ,< 1 year,RENT,32400,Not Verified
131639,WA,3 years,RENT,50000,Not Verified
131769,NY,< 1 year,RENT,62200,Not Verified
132154,MO,< 1 year,MORTGAGE,87300,Not Verified
132889,MD,8 years,MORTGAGE,39000,Not Verified
132940,NC,9 years,MORTGAGE,85000,Not Verified
133259,MO,10+ years,MORTGAGE,45600,Not Verified
133664,VA,3 years,RENT,57100,Not Verified
134417,UT,< 1 year,MORTGAGE,40000,Not Verified
135198,IN,8 years,MORTGAGE,30000,Not Verified
135591,NC,1 year,MORTGAGE,55000,Not Verified
136223,MA,1 year,RENT,36000,Not Verified
136313,LA,< 1 year,RENT,90000,Not Verified
136485,MD,< 1 year,RENT,10000,Not Verified
136588,NC,< 1 year,RENT,12500,Not Verified
136631,MD,8 years,MORTGAGE,85000,Not Verified
136922,NY,2 years,MORTGAGE,480000,Not Verified
137095,TX,< 1 year,RENT,40000,Not Verified
137103,SC,< 1 year,OWN,31000,Not Verified
137952,NY,< 1 year,RENT,105000,Not Verified
138075,SC,10+ years,MORTGAGE,120000,Not Verified
138150,TX,10+ years,OWN,54000,Not Verified
138553,NC,1 year,MORTGAGE,62000,Not Verified
138910,NC,4 years,MORTGAGE,109000,Not Verified
139053,SC,6 years,RENT,54000,Not Verified
139245,KS,1 year,OWN,32000,Not Verified
139635,CT,6 years,RENT,32000,Not Verified
139696,TN,3 years,MORTGAGE,70000,Not Verified
139779,NJ,< 1 year,RENT,29120,Not Verified
139881,AL,< 1 year,RENT,25000,Not Verified
139887,AL,2 years,RENT,36400,Not Verified
139977,GA,1 year,MORTGAGE,39000,Not Verified
140027,NJ,1 year,RENT,35000,Not Verified
140448,NJ,1 year,OWN,18000,Not Verified
140555,CA,2 years,RENT,60000,Not Verified
140897,NC,9 years,MORTGAGE,49000,Not Verified
141022,NC,< 1 year,MORTGAGE,70000,Not Verified
141648,MA,< 1 year,RENT,45000,Not Verified
141767,NJ,8 years,MORTGAGE,85000,Not Verified
142269,WA,2 years,RENT,55400,Not Verified
142718,WA,10+ years,MORTGAGE,57000,Not Verified
142781,VA,10+ years,MORTGAGE,84000,Not Verified
142952,NY,8 years,RENT,38000,Not Verified
143098,LA,< 1 year,RENT,38000,Not Verified
143201,VA,3 years,MORTGAGE,46713,Not Verified
144575,NY,2 years,RENT,70000,Not Verified
144623,FL,2 years,MORTGAGE,75000,Not Verified
146626,UT,2 years,RENT,52000,Not Verified
146655,SD,< 1 year,MORTGAGE,78000,Not Verified
146834,WA,7 years,RENT,120000,Not Verified
147832,FL,2 years,RENT,27000,Not Verified
148467,NY,< 1 year,MORTGAGE,275000,Not Verified
149552,SC,< 1 year,RENT,30000,Not Verified
149751,FL,< 1 year,RENT,14400,Not Verified
150893,AZ,3 years,MORTGAGE,63500,Not Verified
151536,VA,1 year,RENT,35000,Not Verified
151580,MA,10+ years,MORTGAGE,116000,Not Verified
151590,MD,1 year,RENT,25000,Not Verified
151597,GA,10+ years,MORTGAGE,41000,Not Verified
152282,TX,< 1 year,RENT,21000,Not Verified
152600,VA,7 years,MORTGAGE,66000,Not Verified
152635,VA,2 years,RENT,62000,Not Verified
152731,IN,< 1 year,RENT,25000,Not Verified
153018,WA,5 years,MORTGAGE,93000,Not Verified
153157,VA,1 year,RENT,153000,Not Verified
153417,CA,3 years,RENT,85000,Not Verified
153428,MA,< 1 year,RENT,35000,Not Verified
