loan_id,customer_id,loan_amount,int_rate,installment,grade,sub_grade,loan_status,purpose,dti,total_payment,issue_date
1077430,1314167,2500,0.1527,59.83,C,C4,Charged Off,car,0.01,1009,2021-02-11
1072053,1288686,3000,0.1864,109.43,E,E1,Fully Paid,car,0.0535,3939,2021-01-01
1069243,1304116,12000,0.1596,421.65,C,C5,Charged Off,car,0.2088,3522,2021-01-05
1041756,1272024,4500,0.1065,97.06,B,B2,Fully Paid,car,0.054,4911,2021-02-25
1068350,1302971,3500,0.0603,106.53,A,A1,Fully Paid,car,0.0231,3835,2021-01-01
1062608,1294481,8000,0.1465,275.96,C,C3,Fully Paid,car,0.126,8637,2021-07-17
1067441,1301833,6000,0.1427,205.86,C,C2,Fully Paid,car,0.2453,7218,2021-11-19
1066424,1291243,5500,0.079,172.1,A,A4,Fully Paid,car,0.0665,6172,2021-06-11
1065254,1299335,24000,0.089,762.08,A,A5,Charged Off,car,0.0394,8650,2021-09-02
1064589,1298401,4125,0.1269,93.21,B,B5,Fully Paid,car,0.1773,5551,2021-02-09
1057766,1289131,5400,0.1269,181.15,B,B5,Fully Paid,car,0.088,6277,2021-07-22
1062734,1295018,11200,0.1242,374.26,B,B4,Charged Off,car,0.2288,4225,2021-09-11
1062654,1294929,5000,0.1171,165.38,B,B3,Fully Paid,car,0.0401,5728,2021-08-11
1020855,1249642,8000,0.1269,268.36,B,B5,Fully Paid,car,0.1533,9661,2021-12-11
1060945,1293124,6000,0.1242,200.5,B,B4,Fully Paid,car,0.106,7218,2021-10-11
1060995,1292578,12000,0.1242,400.99,B,B4,Charged Off,car,0.063,9547,2021-12-11
1046507,1277552,3050,0.0991,98.29,B,B1,Fully Paid,car,0.035,3538,2021-12-02
1059936,1291775,10000,0.1427,343.09,C,C2,Fully Paid,car,0.1869,11156,2021-10-09
1059497,1291322,5000,0.1065,162.87,B,B2,Fully Paid,car,0.1392,5863,2021-12-12
1058060,1289636,5000,0.1629,176.51,D,D1,Fully Paid,car,0.0957,6361,2021-02-02
112245,112227,5000,0.0743,155.38,A,A2,Fully Paid,car,0.0255,5594,2021-07-07
207910,183496,2225,0.0743,69.14,A,A2,Charged Off,car,0.0767,2508,2021-01-08
65426,232106,4000,0.1114,131.22,B,B1,Charged Off,car,0.1108,2755,2021-08-09
211723,211606,8000,0.1109,262.26,C,C2,Charged Off,car,0.0512,2135,2021-01-08
662350,847024,2500,0.0766,77.95,A,A5,Charged Off,car,0.0795,1479,2021-01-11
1006769,1233120,4000,0.0751,124.45,A,A3,Charged Off,car,0.0648,2479,2021-11-11
405898,454145,12000,0.0963,385.14,A,A5,Charged Off,car,0.15,2306,2021-06-09
445846,544784,7000,0.0894,222.41,A,A5,Charged Off,car,0.152,6446,2021-10-09
659221,843127,9000,0.0766,280.62,A,A5,Charged Off,car,0.0385,8945,2021-01-11
782425,985412,4800,0.089,152.42,A,A5,Charged Off,car,0.0785,1978,2021-06-11
458328,570309,5000,0.1148,164.85,B,B2,Charged Off,car,0.0992,884,2021-01-10
744344,942813,6000,0.1149,197.83,B,B4,Charged Off,car,0.2357,3950,2021-05-11
1026463,1255647,6300,0.1465,217.32,C,C3,Charged Off,car,0.0366,5554,2021-11-11
489679,624878,6000,0.157,210.07,D,D4,Charged Off,car,0.1486,5986,2021-03-10
519658,671773,4750,0.0788,148.59,A,A5,Charged Off,car,0.216,2216,2021-05-10
470041,593245,4800,0.0705,148.32,A,A1,Charged Off,car,0.0737,3210,2021-01-10
393852,432187,9000,0.1189,50.58,B,B4,Charged Off,car,0.0812,1045,2021-05-09
725534,920793,1850,0.1074,60.34,B,B4,Charged Off,car,0.051,1655,2021-04-11
428387,506847,4200,0.1284,141.2,C,C2,Charged Off,car,0.1021,282,2021-07-09
783561,986688,6000,0.0749,186.61,A,A4,Charged Off,car,0.2585,1575,2021-06-11
969474,1190684,7200,0.089,228.63,A,A5,Charged Off,car,0.1872,5845,2021-10-11
773111,975126,2400,0.0849,75.76,A,A5,Charged Off,car,0.0526,2278,2021-06-11
472634,596856,7500,0.0705,231.75,A,A1,Charged Off,car,0,2073,2021-12-09
494891,633723,5550,0.1136,182.66,B,B5,Charged Off,car,0.0159,2083,2021-03-10
458797,571361,22000,0.1148,725.31,B,B2,Charged Off,car,0.0056,15424,2021-11-09
743690,942003,10000,0.1199,332.1,B,B5,Charged Off,car,0.1464,4553,2021-05-11
384963,416412,8000,0.1095,261.71,B,B1,Charged Off,car,0.2298,6197,2021-03-09
508426,656002,5000,0.1099,163.68,B,B4,Charged Off,car,0.174,3110,2021-05-10
402318,446914,3200,0.1221,106.61,B,B5,Charged Off,car,0.1688,3140,2021-05-09
359401,366581,6000,0.1241,200.47,C,C3,Charged Off,car,0.1753,5104,2021-10-08
290803,290796,3000,0.1134,98.7,C,C2,Charged Off,car,0.0772,2798,2021-03-08
847836,1059380,11200,0.1399,382.74,C,C3,Charged Off,car,0.135,8037,2021-08-11
